,id,pid,ms_subclass,ms_zoning,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_val,mo_sold,yr_sold,sale_type,saleprice,exterior_qc,basment_qc,overall_qc,garage_qc,mo_yr_sold,garage_car_area,gr_area_rooms,gr_bed_bath,overall_qual_gr_area,overall_qc_gr_area
446,581,534127130,20,RL,11717,Pave,2,Lvl,3,Inside,2,NWAmes,PosA,Norm,1Fam,1Story,6,6,1970,1970,Hip,CompShg,HdBoard,HdBoard,BrkFace,571.0,3,3,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1442.0,1442.0,GasA,3,1,4,1442,0,0,1442,0.0,0.0,2,0,2,1,3,6,7,1,3.0,0.0,2.0,615.0,3.0,3.0,2,371,0,0,0,0,0,0.0,0.0,0,2,2009,WD ,185000,9,9.0,36,9.0,4018,1230.0,8652,4,8652,51912
447,2435,528240080,60,RL,11194,Pave,2,Lvl,3,Corner,2,Gilbert,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,40.0,4,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1406.0,1406.0,GasA,5,1,4,1454,482,0,1936,0.0,0.0,2,1,3,1,4,7,7,1,3.0,0.0,2.0,504.0,3.0,3.0,2,188,124,0,0,0,0,0.0,0.0,0,11,2006,WD ,230500,12,12.0,40,9.0,22066,1008.0,13552,6,15488,77440
448,2799,907285010,60,RL,11250,Pave,2,Lvl,3,Corner,2,CollgCr,Norm,Norm,1Fam,2Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,227.0,3,3,PConc,4.0,3.0,2.0,5.0,796.0,1.0,0.0,258.0,1054.0,GasA,5,1,4,1070,869,0,1939,0.0,1.0,2,1,3,1,4,8,7,1,3.0,0.0,3.0,555.0,3.0,3.0,2,128,84,0,0,0,0,0.0,0.0,0,5,2006,WD ,227000,9,12.0,35,9.0,10030,1665.0,15512,6,13573,67865
449,883,907414080,60,RL,8633,Pave,3,Lvl,3,FR2,2,CollgCr,Norm,Norm,1Fam,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,1.0,6.0,193.0,1.0,0.0,545.0,738.0,GasA,5,1,4,738,738,0,1476,1.0,0.0,2,1,3,1,4,7,7,0,0.0,3.0,2.0,540.0,3.0,3.0,2,100,35,0,0,0,0,0.0,0.0,0,2,2009,WD ,173500,12,12.0,30,9.0,4018,1080.0,10332,6,8856,44280
450,2537,534201300,85,RL,8400,Pave,3,Lvl,3,Inside,2,NAmes,Feedr,Norm,1Fam,SFoyer,5,6,1968,1968,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4.0,3.0,4.0,6.0,744.0,1.0,0.0,89.0,833.0,GasA,4,1,4,898,0,0,898,1.0,0.0,1,0,3,1,3,6,7,0,0.0,0.0,1.0,326.0,3.0,3.0,2,143,0,0,0,0,0,0.0,0.0,0,8,2006,WD ,140000,9,12.0,30,9.0,16048,326.0,5388,3,4490,26940
452,774,905107310,85,RL,8014,Pave,2,Lvl,3,CulDSac,2,Sawyer,Norm,Norm,1Fam,SFoyer,6,5,1978,1978,Gable,CompShg,Plywood,HdBoard,BrkFace,23.0,3,3,CBlock,4.0,3.0,4.0,6.0,456.0,1.0,0.0,0.0,456.0,GasA,3,1,4,1034,0,0,1034,0.0,1.0,1,0,3,1,3,5,7,1,2.0,3.0,2.0,504.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,6,2009,WD ,149900,9,12.0,30,9.0,12054,1008.0,5170,3,6204,31020
453,1447,907202010,20,RL,12250,Pave,2,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,5,6,1978,1978,Gable,CompShg,HdBoard,HdBoard,BrkFace,180.0,3,3,CBlock,4.0,3.0,2.0,5.0,781.0,1.0,0.0,83.0,864.0,GasA,5,1,4,1174,0,0,1174,1.0,0.0,1,0,3,1,3,5,7,0,0.0,1.0,2.0,528.0,3.0,3.0,2,211,0,280,0,0,0,0.0,0.0,0,5,2008,WD ,158000,9,12.0,30,9.0,10040,1056.0,5870,3,5870,35220
454,104,533223100,160,FV,2403,Pave,2,Lvl,3,FR2,2,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,1.0,6.0,244.0,1.0,0.0,286.0,530.0,GasA,5,1,4,530,550,0,1080,0.0,0.0,2,1,2,1,4,4,7,0,0.0,0.0,2.0,496.0,3.0,3.0,2,0,50,0,0,0,0,0.0,0.0,0,6,2010,WD ,147110,12,12.0,35,9.0,12060,992.0,4320,4,7560,37800
455,2694,903454080,50,RM,8600,Pave,3,Bnk,3,Inside,2,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1937,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,780.0,780.0,GasA,3,1,4,780,596,0,1376,0.0,0.0,2,0,3,1,3,7,7,1,4.0,1.0,1.0,198.0,3.0,3.0,0,0,0,0,0,0,0,0.0,0.0,0,6,2006,WD ,119500,9,9.0,36,9.0,12036,198.0,9632,6,8256,49536
456,920,909275080,50,RL,13680,Pave,3,HLS,3,Inside,1,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,5.0,728.0,1.0,0.0,112.0,840.0,GasA,5,1,4,840,727,0,1567,1.0,0.0,1,1,2,1,3,6,5,2,3.0,1.0,2.0,440.0,3.0,3.0,2,0,21,150,0,0,0,0.0,4.0,0,2,2009,WD ,205000,9,9.0,30,9.0,4018,880.0,9402,2,7835,47010
457,1951,535379110,70,RL,10800,Pave,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,2Story,5,9,1895,1999,Gable,CompShg,Wd Sdng,HdBoard,None,0.0,3,4,CBlock,4.0,3.0,3.0,1.0,0.0,1.0,0.0,736.0,736.0,GasA,5,1,4,751,783,0,1534,0.0,0.0,1,1,3,1,4,6,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,0,0,0,0,0.0,0.0,0,7,2007,WD ,148000,12,12.0,45,0.0,14049,0.0,9204,3,7670,69030
458,9,527146030,120,RL,5389,Pave,2,Lvl,3,Inside,2,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4.0,3.0,1.0,6.0,1180.0,1.0,0.0,415.0,1595.0,GasA,5,1,4,1616,0,0,1616,1.0,0.0,2,0,2,1,4,5,7,1,3.0,0.0,2.0,608.0,3.0,3.0,2,237,152,0,0,0,0,0.0,0.0,0,3,2010,WD ,236500,12,12.0,40,9.0,6030,1216.0,8080,4,12928,64640
459,2848,909176180,50,RL,10890,Pave,3,Lvl,3,Inside,2,SWISU,Norm,Norm,1Fam,1.5Fin,5,5,1938,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,2.0,3.0,1.0,2.0,930.0,1.0,0.0,128.0,1058.0,GasA,3,1,4,1058,493,0,1551,1.0,0.0,2,0,3,1,2,6,7,0,0.0,1.0,1.0,240.0,2.0,3.0,2,0,0,0,0,0,0,0.0,3.0,0,7,2006,WD ,137000,9,6.0,25,6.0,14042,240.0,9306,6,7755,38775
460,614,534431130,20,RL,9768,Pave,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1955,1955,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,3.0,100.0,5.0,247.0,613.0,960.0,GasA,4,1,4,960,0,0,960,1.0,0.0,1,0,2,1,3,5,7,0,0.0,0.0,1.0,330.0,3.0,3.0,2,0,70,0,0,0,0,0.0,3.0,0,2,2009,WD ,122000,9,9.0,25,9.0,4018,330.0,4800,2,4800,24000
461,1736,528222030,20,RL,8993,Pave,2,Lvl,3,Inside,2,Gilbert,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,3.0,1.0,0.0,1.0,0.0,1302.0,1302.0,GasA,5,1,4,1302,0,0,1302,0.0,0.0,2,0,3,1,4,6,7,0,0.0,3.0,2.0,436.0,3.0,3.0,2,0,22,0,0,0,0,0.0,0.0,0,8,2007,New,176485,12,12.0,35,9.0,16056,872.0,7812,6,9114,45570
462,2686,903400030,30,RL,11672,Pave,1,Lvl,3,Inside,2,BrkSide,Norm,Norm,1Fam,1Story,5,5,1925,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,816.0,816.0,GasA,3,1,3,816,0,0,816,0.0,0.0,1,0,2,1,3,4,7,0,0.0,1.0,1.0,210.0,2.0,2.0,0,168,0,112,0,0,0,0.0,0.0,0,7,2006,WD ,109000,9,9.0,25,4.0,14042,210.0,3264,2,4080,20400
463,2257,916253320,120,RM,9763,Pave,2,Lvl,3,Inside,2,GrnHill,Norm,Norm,TwnhsE,1Story,7,5,1998,1998,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,239.0,4,3,PConc,4.0,3.0,1.0,6.0,1102.0,5.0,72.0,328.0,1502.0,GasA,5,1,4,1502,0,0,1502,1.0,0.0,1,1,1,1,4,5,7,1,3.0,3.0,1.0,286.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,9,2007,WD ,330000,12,12.0,35,9.0,18063,286.0,7510,1,10514,52570
464,1284,902100020,20,RM,9836,Pave,3,Bnk,3,Inside,2,OldTown,Artery,Norm,1Fam,1Story,6,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3.0,3.0,1.0,6.0,96.0,1.0,0.0,96.0,192.0,GasA,4,0,4,1133,0,0,1133,1.0,0.0,1,0,3,1,3,7,7,0,0.0,1.0,1.0,308.0,3.0,3.0,2,0,175,0,0,0,0,0.0,0.0,0,12,2008,WD ,143000,9,9.0,30,9.0,24096,308.0,7931,3,6798,33990
465,1765,528340030,60,RL,10557,Pave,2,Lvl,3,Inside,2,NoRidge,Norm,Norm,1Fam,2Story,9,5,1998,1998,Gable,CompShg,MetalSd,MetalSd,BrkFace,422.0,4,3,PConc,5.0,3.0,4.0,6.0,672.0,1.0,0.0,736.0,1408.0,GasA,5,1,4,1671,1407,0,3078,1.0,0.0,2,1,4,1,4,9,7,1,3.0,3.0,3.0,806.0,3.0,3.0,2,108,87,0,0,0,0,0.0,0.0,0,7,2007,WD ,410000,12,15.0,45,9.0,14049,2418.0,27702,8,27702,138510
466,1811,531380110,60,RL,8462,Pave,2,Lvl,3,Inside,2,SawyerW,Norm,Norm,1Fam,2Story,6,5,1994,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,105.0,4,4,PConc,4.0,4.0,1.0,6.0,814.0,1.0,0.0,114.0,928.0,GasA,5,1,4,936,785,0,1721,0.0,1.0,2,1,3,1,4,7,7,0,0.0,0.0,2.0,471.0,3.0,3.0,2,300,87,0,0,0,0,0.0,0.0,0,7,2007,WD ,201000,16,16.0,30,9.0,14049,942.0,12047,6,10326,51630
467,2603,535380130,50,RL,10818,Pave,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,1.5Fin,4,4,1910,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,BrkTil,2.0,3.0,1.0,1.0,0.0,1.0,0.0,1077.0,1077.0,GasA,3,1,3,981,779,0,1760,0.0,0.0,1,1,4,1,3,7,7,1,3.0,1.0,2.0,648.0,2.0,3.0,2,120,0,96,0,0,0,0.0,0.0,0,2,2006,COD,80000,9,6.0,16,6.0,4012,1296.0,12320,4,7040,28160
468,2220,909282020,70,RL,7259,Pave,2,Lvl,3,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,6,8,1945,2002,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,5.0,774.0,2.0,150.0,104.0,1028.0,GasA,5,1,4,1436,884,0,2320,1.0,0.0,2,1,3,1,4,9,7,1,3.0,1.0,1.0,180.0,3.0,3.0,2,224,0,0,0,0,0,0.0,3.0,0,7,2007,WD ,259500,9,9.0,48,9.0,14049,180.0,20880,6,13920,111360
469,2273,916477060,60,RL,11800,Pave,2,Lvl,3,Inside,2,Timber,Norm,Norm,1Fam,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,94.0,4,3,PConc,4.0,3.0,4.0,6.0,766.0,1.0,0.0,356.0,1122.0,GasA,5,1,4,1146,1340,0,2486,1.0,0.0,3,1,5,1,4,10,7,1,4.0,3.0,2.0,452.0,3.0,3.0,2,143,32,0,0,0,0,0.0,0.0,0,7,2007,WD ,279900,12,12.0,35,9.0,14049,904.0,24860,15,17402,87010
470,163,535453070,20,RL,7500,Pave,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,1994,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3.0,3.0,1.0,2.0,340.0,3.0,906.0,0.0,1246.0,GasA,5,1,4,1246,0,0,1246,1.0,0.0,1,1,3,1,4,6,7,0,0.0,0.0,1.0,305.0,3.0,3.0,2,218,0,0,0,0,0,0.0,4.0,0,5,2010,WD ,154000,9,9.0,35,9.0,10050,305.0,7476,3,6230,43610
471,2116,906426060,50,RL,159000,Pave,1,Low,3,CulDSac,0,ClearCr,Norm,Norm,1Fam,1.5Fin,6,7,1958,2006,Gable,CompShg,Wd Sdng,HdBoard,BrkCmn,472.0,4,3,CBlock,4.0,3.0,4.0,3.0,697.0,1.0,0.0,747.0,1444.0,GasA,4,1,4,1444,700,0,2144,0.0,1.0,2,0,4,1,4,7,7,2,3.0,3.0,2.0,389.0,3.0,3.0,2,0,98,0,0,0,0,0.0,0.0,500,6,2007,WD ,277000,12,12.0,42,9.0,12042,778.0,15008,8,12864,90048
472,2734,905403050,50,RL,6488,Pave,3,Lvl,3,Inside,2,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1942,1950,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3.0,1.0,2.0,230.0,1.0,0.0,569.0,799.0,GasA,5,0,3,799,351,0,1150,0.0,0.0,1,0,3,1,3,6,4,2,3.0,1.0,1.0,215.0,3.0,3.0,2,264,0,0,0,0,0,0.0,0.0,0,3,2006,WD ,128000,9,9.0,25,9.0,6018,215.0,6900,3,5750,28750
473,426,528108010,20,RL,14230,Pave,3,Lvl,3,Corner,2,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1566.0,1566.0,GasA,5,1,4,1600,0,0,1600,0.0,0.0,2,0,3,1,4,7,7,1,4.0,0.0,3.0,890.0,3.0,3.0,2,0,56,0,0,0,0,0.0,0.0,0,7,2009,WD ,256300,12,12.0,40,9.0,14063,2670.0,11200,6,12800,64000
474,2216,909276210,50,RL,7810,Pave,2,HLS,3,Inside,2,Crawfor,Norm,Norm,1Fam,1.5Fin,4,6,1930,2003,Gable,CompShg,AsbShng,CmentBd,None,0.0,3,4,BrkTil,3.0,4.0,1.0,6.0,189.0,1.0,0.0,741.0,930.0,GasA,5,1,4,1230,525,0,1755,0.0,0.0,2,0,4,1,4,7,7,1,3.0,1.0,1.0,231.0,2.0,3.0,2,0,40,0,0,0,0,0.0,0.0,0,11,2007,WD ,188000,12,12.0,24,6.0,22077,231.0,12285,8,7020,42120
475,2900,916475100,20,RL,14331,Pave,3,Lvl,3,Inside,2,Timber,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,630.0,4,3,PConc,5.0,3.0,4.0,6.0,1274.0,1.0,0.0,526.0,1800.0,GasA,5,1,4,1800,0,0,1800,1.0,0.0,2,0,3,1,4,7,7,1,4.0,3.0,3.0,765.0,3.0,3.0,2,270,78,0,0,0,0,0.0,0.0,0,5,2006,WD ,312500,12,15.0,40,9.0,10030,2295.0,12600,6,14400,72000
476,97,533212010,160,FV,3182,Pave,3,Lvl,3,Inside,2,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,600.0,600.0,GasA,5,1,4,600,600,0,1200,0.0,0.0,2,1,2,1,4,4,7,0,0.0,0.0,2.0,480.0,3.0,3.0,2,0,172,0,0,0,0,0.0,0.0,0,6,2010,WD ,151000,12,12.0,35,9.0,12060,960.0,4800,4,8400,42000
477,1680,527451170,160,RM,1920,Pave,3,Lvl,3,Inside,2,BrDale,Norm,Norm,TwnhsE,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,376.0,3,3,CBlock,3.0,3.0,1.0,5.0,471.0,1.0,0.0,294.0,765.0,GasA,5,1,4,765,600,0,1365,1.0,0.0,1,1,2,1,3,6,6,0,0.0,1.0,2.0,440.0,3.0,3.0,2,240,36,0,0,0,0,0.0,0.0,0,8,2007,WD ,122500,9,9.0,25,9.0,16056,880.0,8190,2,6825,34125
478,1133,531371070,60,RL,10110,Pave,3,Lvl,3,Inside,2,SawyerW,Norm,Norm,1Fam,2Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,2.0,6.0,80.0,5.0,555.0,200.0,835.0,GasA,5,1,4,835,861,0,1696,1.0,0.0,2,1,3,1,4,7,7,0,0.0,0.0,2.0,542.0,3.0,3.0,2,143,66,0,0,0,0,0.0,0.0,0,7,2008,WD ,188000,12,12.0,30,9.0,14056,1084.0,11872,6,10176,50880
479,2761,906394010,60,RL,10984,Pave,2,Lvl,3,Corner,2,CollgCr,Norm,Norm,1Fam,2Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,4.0,1.0,0.0,1.0,0.0,945.0,945.0,GasA,5,1,4,945,864,0,1809,0.0,0.0,2,1,3,1,4,8,7,0,0.0,0.0,2.0,638.0,3.0,3.0,2,144,54,0,0,0,0,0.0,0.0,0,5,2006,New,209700,12,12.0,35,9.0,10030,1276.0,14472,6,12663,63315
480,1642,527256030,20,RL,14082,Pave,2,HLS,3,Inside,2,StoneBr,Norm,Norm,1Fam,1Story,8,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,945.0,4,3,PConc,5.0,4.0,4.0,6.0,1558.0,1.0,0.0,662.0,2220.0,GasA,5,1,4,2234,0,0,2234,1.0,0.0,1,1,1,1,4,7,7,1,4.0,0.0,2.0,724.0,3.0,3.0,2,390,80,0,0,0,0,0.0,0.0,0,1,2007,WD ,441929,12,20.0,40,9.0,2007,1448.0,15638,1,17872,89360
481,1141,531382110,60,RL,8480,Pave,2,Lvl,3,Inside,2,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,4,3,PConc,4.0,3.0,1.0,6.0,602.0,1.0,0.0,284.0,886.0,GasA,5,1,4,886,794,0,1680,0.0,1.0,2,1,3,1,4,7,7,0,0.0,0.0,2.0,474.0,3.0,3.0,2,144,96,0,0,0,0,0.0,0.0,0,10,2008,WD ,163000,12,12.0,30,9.0,20080,948.0,11760,6,10080,50400
482,2118,906475110,60,RL,12205,Pave,2,Low,3,Inside,2,ClearCr,Norm,Norm,1Fam,2Story,6,8,1966,2007,Gable,CompShg,HdBoard,HdBoard,BrkFace,157.0,3,3,CBlock,3.0,2.0,4.0,2.0,568.0,1.0,0.0,264.0,832.0,GasA,4,1,4,976,1111,0,2087,0.0,0.0,2,1,5,1,4,9,7,0,0.0,3.0,2.0,444.0,3.0,3.0,2,133,168,0,0,0,0,0.0,0.0,0,7,2007,WD ,187500,9,6.0,48,9.0,14049,888.0,18783,10,12522,100176
483,870,907275010,20,RL,15750,Pave,3,Lvl,3,FR3,2,CollgCr,Feedr,Norm,1Fam,1Story,8,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,260.0,4,3,PConc,4.0,3.0,4.0,6.0,1246.0,1.0,0.0,216.0,1462.0,GasA,5,1,4,1513,0,0,1513,1.0,0.0,2,0,2,1,4,5,7,1,3.0,3.0,2.0,521.0,3.0,3.0,2,135,34,0,0,0,0,0.0,0.0,0,6,2009,WD ,220000,12,12.0,40,9.0,12054,1042.0,7565,4,12104,60520
484,1875,534201040,20,RL,8050,Pave,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,6,1967,1993,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3.0,1.0,5.0,474.0,4.0,38.0,437.0,949.0,GasA,3,1,4,1107,0,0,1107,1.0,0.0,1,0,3,1,4,5,7,0,0.0,0.0,1.0,308.0,3.0,3.0,2,88,64,0,0,0,0,0.0,0.0,0,3,2007,WD ,127000,9,9.0,30,9.0,6021,308.0,5535,3,5535,33210
485,155,535327140,20,RL,7200,Pave,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,7,1955,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Slab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GasA,5,1,4,827,0,0,827,0.0,0.0,1,0,2,1,3,5,4,1,1.0,1.0,1.0,392.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,4,2010,WD ,107500,9,0.0,35,9.0,8040,392.0,4135,2,4135,28945
486,1318,902328040,75,RM,6300,Pave,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,2.5Unf,6,6,1914,2001,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,742.0,742.0,GasA,5,1,4,742,742,0,1484,0.0,0.0,2,0,3,1,3,9,7,1,4.0,0.0,0.0,0.0,0.0,0.0,2,0,291,134,0,0,0,0.0,0.0,0,6,2008,WD ,128000,9,9.0,36,0.0,12048,0.0,13356,6,8904,53424
487,1285,902100030,30,RM,5232,Pave,0,Bnk,3,Inside,2,OldTown,Artery,Norm,1Fam,1Story,5,5,1925,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,2.0,3.0,1.0,1.0,0.0,1.0,0.0,680.0,680.0,GasA,4,0,1,764,0,0,764,0.0,0.0,1,0,2,1,3,4,7,0,0.0,1.0,2.0,504.0,3.0,3.0,0,0,0,0,0,0,0,0.0,0.0,0,6,2008,WD ,73000,9,6.0,25,9.0,12048,1008.0,3056,2,3820,19100
488,2400,528164040,20,RL,11846,Pave,2,HLS,3,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,562.0,4,3,PConc,5.0,3.0,4.0,6.0,1567.0,1.0,0.0,225.0,1792.0,GasA,5,1,4,1792,0,0,1792,1.0,0.0,2,0,2,1,5,6,7,1,4.0,3.0,3.0,874.0,3.0,3.0,2,206,49,0,0,0,0,0.0,0.0,0,8,2006,WD ,374000,12,15.0,45,9.0,16048,2622.0,10752,4,16128,80640
489,1068,528178070,60,RL,16900,Pave,3,Lvl,3,Inside,2,NridgHt,Norm,Norm,1Fam,2Story,8,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,1110.0,4,3,PConc,5.0,3.0,2.0,6.0,1075.0,1.0,0.0,404.0,1479.0,GasA,5,1,4,1515,1134,0,2649,1.0,0.0,2,1,4,1,4,10,7,1,3.0,3.0,3.0,746.0,3.0,3.0,2,0,60,0,0,0,0,0.0,0.0,0,1,2008,WD ,421250,12,15.0,40,9.0,2008,2238.0,26490,8,21192,105960
490,361,527164060,60,RL,9636,Pave,2,Lvl,3,Corner,2,Gilbert,Norm,Norm,1Fam,2Story,6,5,1992,1993,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,808.0,808.0,GasA,4,1,4,808,785,0,1593,0.0,0.0,2,1,3,1,3,7,7,1,3.0,0.0,2.0,389.0,3.0,3.0,2,342,40,0,0,0,0,0.0,3.0,0,12,2009,WD ,178000,9,12.0,30,9.0,24108,778.0,11151,6,9558,47790
491,1493,908128050,85,RL,10012,Pave,3,Lvl,3,Inside,2,Edwards,Norm,Norm,1Fam,SFoyer,4,5,1972,1972,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,4.0,3.0,3.0,4.0,920.0,3.0,180.0,38.0,1138.0,GasA,3,1,4,1181,0,0,1181,1.0,0.0,2,0,3,1,3,6,7,0,0.0,0.0,2.0,588.0,3.0,3.0,2,0,0,180,0,0,0,0.0,3.0,0,4,2008,WD ,137500,9,12.0,20,9.0,8032,1176.0,7086,6,4724,23620
492,1110,528390020,20,RL,14303,Pave,2,Lvl,3,Corner,2,NoRidge,Norm,Norm,1Fam,1Story,8,5,1994,1994,Hip,CompShg,HdBoard,HdBoard,BrkFace,554.0,4,3,PConc,4.0,3.0,4.0,6.0,1314.0,1.0,0.0,672.0,1986.0,GasA,5,1,4,1987,0,0,1987,1.0,0.0,2,0,2,1,4,7,7,1,3.0,3.0,2.0,691.0,3.0,3.0,2,262,36,0,0,0,0,0.0,0.0,0,8,2008,WD ,301500,12,12.0,40,9.0,16064,1382.0,13909,4,15896,79480
493,911,909250080,70,RL,5707,Pave,3,Bnk,3,Inside,2,SWISU,Feedr,Norm,1Fam,2Story,6,6,1935,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,583.0,583.0,GasA,4,1,2,647,595,0,1242,0.0,0.0,1,1,3,1,3,6,7,1,4.0,1.0,1.0,180.0,2.0,3.0,2,329,96,0,0,0,0,0.0,0.0,0,3,2009,WD ,105000,9,9.0,36,6.0,6027,180.0,7452,3,7452,44712
494,2535,534201260,20,RL,9360,Pave,3,Lvl,3,Inside,2,NAmes,Feedr,Norm,1Fam,1Story,6,7,1968,2004,Hip,CompShg,HdBoard,HdBoard,BrkFace,203.0,3,3,CBlock,3.0,3.0,3.0,5.0,760.0,1.0,0.0,216.0,976.0,GasA,3,1,4,976,0,0,976,1.0,0.0,1,0,2,1,4,4,7,1,2.0,0.0,2.0,504.0,3.0,3.0,2,94,0,0,0,0,0,0.0,0.0,0,8,2006,WD ,157500,9,9.0,42,9.0,16048,1008.0,3904,2,5856,40992
